Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.J. Price,PG,25,IND,44.0,568.0,11.5,0.454,0.506,0.201,2.6,9.4,6.0,23.9,1.9,0.3,14.5,17.7,0.2,0.5,0.7,0.063,-0.6,-0.5,-1.0,0.1
Aaron Gray,C,27,TOR,49.0,813.0,11.1,0.526,0.0,0.292,12.1,28.3,20.3,5.5,1.5,1.7,21.9,13.5,0.1,1.3,1.4,0.082,-3.6,0.1,-3.5,-0.3
Al Harrington,PF,31,DEN,64.0,1761.0,15.3,0.535,0.392,0.228,4.9,20.4,12.9,8.2,1.7,0.5,11.6,24.4,1.6,1.6,3.2,0.088,0.5,-0.8,-0.4,0.7
Al Horford,C,25,ATL,11.0,348.0,19.0,0.585,0.01,0.291,8.8,17.1,13.0,11.7,1.5,3.1,12.1,17.9,0.8,0.6,1.3,0.18,1.8,1.5,3.4,0.5
Al Jefferson,C,27,UTA,61.0,2075.0,22.8,0.52,0.004,0.169,7.3,25.3,16.2,12.1,1.2,3.9,5.2,25.7,4.9,2.5,7.5,0.173,3.5,0.2,3.7,3.0
Al-Farouq Aminu,SF,21,NOH,66.0,1477.0,10.6,0.481,0.129,0.312,7.8,16.9,12.4,7.2,2.2,1.9,18.0,16.2,-0.4,1.8,1.4,0.044,-2.9,0.7,-2.2,-0.1
Alan Anderson,SF,29,TOR,17.0,461.0,8.7,0.519,0.43,0.239,2.1,6.5,4.3,9.5,0.6,0.5,13.7,18.6,0.1,0.2,0.3,0.032,-1.7,-1.3,-3.0,-0.1
Alec Burks,SG,20,UTA,59.0,939.0,14.0,0.506,0.126,0.401,6.9,9.3,8.1,9.5,1.5,0.4,10.8,22.5,1.1,0.4,1.5,0.076,-0.6,-1.4,-2.0,0.0
Alonzo Gee,SG,24,CLE,63.0,1827.0,13.2,0.516,0.249,0.385,6.1,14.3,10.0,10.6,2.4,0.7,15.0,18.7,1.2,1.2,2.4,0.063,-1.2,-0.2,-1.4,0.3
Amar'e Stoudemire,PF,29,NYK,47.0,1543.0,17.7,0.541,0.032,0.372,7.9,19.8,13.7,6.3,1.3,2.3,12.8,25.4,1.8,2.3,4.1,0.128,0.1,-0.4,-0.3,0.7
Amir Johnson,PF,24,TOR,64.0,1553.0,14.4,0.6,0.015,0.247,11.4,19.4,15.4,8.7,1.1,3.6,20.0,14.3,1.9,2.0,4.0,0.122,-1.4,0.9,-0.5,0.6
Anderson Varejão,C,29,CLE,25.0,785.0,18.9,0.542,0.018,0.288,15.2,26.8,20.8,9.7,2.3,1.6,15.2,16.9,1.2,0.9,2.1,0.131,1.3,-0.2,1.1,0.6
Andray Blatche,PF,25,WAS,26.0,626.0,10.6,0.415,0.029,0.2,7.5,19.6,13.5,7.3,1.7,2.1,12.2,21.7,-0.8,0.6,-0.1,-0.011,-3.4,-1.4,-4.8,-0.4
Andre Emmett,SF,29,NJN,6.0,45.0,13.3,0.618,0.143,1.143,5.0,10.6,7.7,3.6,2.4,1.7,16.0,12.7,0.1,0.0,0.1,0.089,-0.8,-0.7,-1.5,0.0
Andre Iguodala,SF,28,PHI,62.0,2209.0,17.6,0.537,0.305,0.31,2.8,16.4,9.6,23.7,2.6,1.0,13.8,17.7,3.1,4.2,7.3,0.158,1.5,2.5,4.0,3.3
Andre Miller,SG,35,DEN,66.0,1809.0,14.8,0.51,0.15,0.306,3.5,10.5,7.1,36.5,1.8,0.4,22.0,19.8,1.9,1.0,2.9,0.078,0.5,-0.9,-0.3,0.7
Andrea Bargnani,C,26,TOR,31.0,1032.0,17.9,0.538,0.238,0.357,2.8,16.6,9.8,11.6,0.9,1.2,11.0,28.7,1.3,0.9,2.2,0.104,2.4,-1.3,1.1,0.8
Andrew Bogut,C,27,MIL,12.0,364.0,14.9,0.465,0.007,0.169,6.5,24.3,15.1,13.7,1.7,5.0,14.1,20.6,-0.1,0.6,0.5,0.062,-1.9,2.3,0.5,0.2
Andrew Bynum,C,24,LAL,60.0,2112.0,22.9,0.594,0.006,0.425,10.6,26.1,18.7,7.4,0.7,4.0,13.9,23.8,4.8,3.3,8.0,0.183,2.7,0.2,2.9,2.6
