Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.J. Price,PG,23,IND,56.0,865.0,14.0,0.53,0.492,0.212,1.5,9.7,5.6,20.5,2.0,0.2,13.2,22.7,0.4,0.8,1.2,0.065,-0.1,-0.4,-0.5,0.3
Aaron Brooks,PG,25,HOU,82.0,2919.0,16.0,0.549,0.394,0.224,2.0,6.6,4.2,25.6,1.2,0.3,13.7,25.7,3.9,1.6,5.5,0.091,2.3,-1.6,0.7,1.9
Aaron Gray,C,25,CHI-NOH,32.0,311.0,16.6,0.551,0.0,0.341,16.7,23.1,19.8,10.6,1.5,2.7,16.0,16.4,0.5,0.4,0.9,0.142,-1.1,-0.2,-1.3,0.1
Acie Law,PG,25,GSW-CHA-CHI,26.0,234.0,16.0,0.585,0.213,0.653,1.4,6.6,4.1,17.5,2.3,0.4,15.0,21.7,0.3,0.2,0.6,0.115,-0.6,-0.4,-1.0,0.1
Adam Morrison,SF,25,LAL,31.0,241.0,7.4,0.418,0.247,0.094,4.7,10.1,7.4,11.3,0.6,0.6,10.2,18.3,-0.2,0.2,0.0,0.009,-3.6,-1.1,-4.7,-0.2
Al Harrington,PF,29,NYK,72.0,2195.0,16.8,0.546,0.397,0.308,4.5,16.7,10.5,8.6,1.4,0.9,10.1,26.8,2.2,1.3,3.5,0.077,0.8,-1.6,-0.8,0.6
Al Horford,C,23,ATL,81.0,2845.0,19.4,0.594,0.001,0.319,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,6.9,3.9,10.9,0.183,1.8,0.5,2.3,3.1
Al Jefferson,C,25,MIN,76.0,2463.0,19.0,0.524,0.004,0.236,8.0,24.2,16.0,10.0,1.3,3.0,9.9,24.3,2.3,2.3,4.6,0.09,0.7,-0.4,0.4,1.5
Al Thornton,SF,26,LAC-WAS,75.0,2079.0,11.8,0.523,0.046,0.312,6.4,10.0,8.2,7.1,1.1,1.3,11.7,19.0,1.2,1.0,2.2,0.05,-2.1,-1.0,-3.1,-0.6
Alando Tucker,SF,25,PHO-MIN,15.0,96.0,13.4,0.529,0.179,0.538,7.4,4.6,5.9,6.4,0.0,0.0,9.4,24.4,0.1,0.0,0.1,0.061,-0.1,-3.9,-4.0,0.0
Alexis Ajinça,C,21,CHA,6.0,30.0,6.3,0.479,0.0,0.1,4.1,11.8,8.0,0.0,1.8,2.7,16.1,19.3,-0.1,0.0,0.0,-0.013,-6.3,1.0,-5.3,0.0
Allen Iverson,SG-PG,34,MEM-PHI,28.0,865.0,13.4,0.515,0.079,0.415,2.1,8.7,5.4,21.0,1.2,0.2,14.6,23.0,0.5,0.2,0.7,0.037,-1.0,-1.9,-3.0,-0.2
Alonzo Gee,SG,22,WAS,11.0,182.0,16.2,0.564,0.153,0.492,9.3,11.6,10.4,6.4,2.0,0.4,12.2,20.4,0.3,0.1,0.4,0.108,1.7,-0.1,1.6,0.2
Amar'e Stoudemire,PF,27,PHO,82.0,2838.0,22.6,0.615,0.005,0.5,9.7,18.9,14.5,4.8,0.9,2.1,12.1,27.3,8.2,2.5,10.7,0.181,2.1,-1.1,1.0,2.2
Amir Johnson,PF,22,TOR,82.0,1453.0,16.7,0.639,0.012,0.446,12.9,19.1,16.1,5.0,1.6,3.5,13.6,14.5,3.4,1.1,4.5,0.15,-0.6,0.0,-0.6,0.5
Anderson Varejão,PF,27,CLE,76.0,2166.0,15.8,0.598,0.011,0.375,10.9,20.4,15.9,6.1,1.7,2.4,11.0,13.1,4.3,3.8,8.1,0.179,0.1,1.2,1.3,1.8
Andray Blatche,PF,23,WAS,81.0,2256.0,17.6,0.519,0.044,0.234,7.9,18.2,13.0,13.8,2.0,2.4,14.2,25.8,0.8,2.6,3.4,0.073,0.2,0.4,0.6,1.5
Andre Iguodala,SF,26,PHI,82.0,3193.0,17.8,0.535,0.271,0.384,3.0,16.8,9.8,23.7,2.3,1.4,14.3,21.8,4.0,2.8,6.7,0.101,2.0,0.4,2.4,3.5
Andre Miller,PG,33,POR,82.0,2500.0,18.1,0.53,0.088,0.432,4.0,9.2,6.6,30.3,2.0,0.3,13.8,23.8,4.6,2.4,7.0,0.134,1.8,0.0,1.8,2.4
Andrea Bargnani,PF,24,TOR,80.0,2799.0,15.5,0.552,0.284,0.205,4.6,15.9,10.4,5.4,0.5,3.0,8.8,22.3,3.3,0.9,4.2,0.072,0.9,-1.7,-0.8,0.9
Andrei Kirilenko,SF,28,UTA,58.0,1681.0,18.2,0.588,0.185,0.485,5.5,12.9,9.3,14.0,2.5,3.4,11.9,17.7,3.3,2.7,6.0,0.171,2.7,2.4,5.1,3.0
Andrew Bogut,C,25,MIL,69.0,2229.0,20.7,0.54,0.002,0.26,10.1,26.4,17.9,10.3,0.9,6.2,11.4,23.3,2.6,4.8,7.5,0.161,0.8,2.2,3.1,2.8
Andrew Bynum,C,22,LAL,65.0,1977.0,20.2,0.608,0.001,0.379,10.1,20.4,15.3,5.8,0.9,3.6,12.5,20.8,4.4,3.4,7.8,0.188,1.1,0.4,1.5,1.8
Andris Biedriņš,C,23,GSW,33.0,763.0,13.0,0.561,0.0,0.182,9.1,29.0,18.9,10.1,1.3,4.1,17.8,10.1,0.7,0.9,1.6,0.101,-1.9,1.7,-0.2,0.4
