Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.C. Green,SF,31,PHO,82.0,2687.0,14.2,0.596,0.206,0.556,8.3,20.4,14.3,6.5,1.0,0.8,12.9,14.2,4.6,2.1,6.7,0.12,0.8,-0.9,-0.1,1.3
Aaron McKie,SG,22,POR,45.0,827.0,13.3,0.5,0.107,0.28,4.6,13.5,8.8,15.9,2.2,1.4,11.7,17.0,0.8,1.2,2.0,0.115,-1.4,1.7,0.3,0.5
Aaron Swinson,SF,24,PHO,9.0,51.0,11.7,0.594,0.0,0.278,6.7,11.3,9.0,9.0,1.0,0.0,19.8,21.4,0.0,0.0,0.0,0.039,-4.3,-2.5,-6.8,-0.1
Aaron Williams,PF,23,MIL,15.0,72.0,7.0,0.41,0.042,0.5,8.1,24.1,15.9,0.0,1.4,6.2,19.3,22.3,-0.2,0.1,-0.1,-0.067,-8.7,-0.3,-9.0,-0.1
Acie Earl,C,24,BOS,30.0,208.0,6.6,0.409,0.0,0.426,10.4,14.6,12.5,1.4,1.5,2.6,14.8,19.7,-0.4,0.2,-0.2,-0.038,-6.9,-2.0,-8.9,-0.4
Adam Keefe,SF,24,UTA,75.0,1270.0,15.1,0.616,0.0,0.581,14.0,18.0,16.1,3.5,1.5,1.6,14.2,15.6,2.4,1.7,4.1,0.154,0.2,-0.6,-0.4,0.5
Adrian Caldwell,PF,28,HOU,7.0,30.0,4.4,0.377,0.0,1.5,4.0,32.8,19.1,0.0,1.7,0.0,13.1,11.4,0.0,0.1,0.0,0.02,-7.8,0.7,-7.2,0.0
Alaa Abdelnaby,PF,26,SAC-PHI,54.0,506.0,12.6,0.519,0.009,0.152,8.7,17.4,13.1,5.0,1.5,1.8,15.4,25.6,-0.4,0.7,0.3,0.027,-4.4,0.1,-4.3,-0.3
Allan Houston,SG,23,DET,76.0,1996.0,16.4,0.589,0.434,0.199,1.7,8.1,4.9,14.3,1.6,0.5,10.8,23.5,3.5,0.3,3.8,0.091,2.5,-1.8,0.7,1.4
Alonzo Mourning,C,24,CHH,77.0,2941.0,20.1,0.593,0.031,0.585,8.4,21.6,15.3,6.6,0.9,5.5,14.8,25.6,4.3,5.1,9.4,0.153,0.2,0.9,1.1,2.3
Alphonso Ford,SG,23,PHI,5.0,98.0,0.4,0.238,0.231,0.051,9.4,14.4,11.9,14.1,0.5,0.0,16.7,21.8,-0.5,0.0,-0.4,-0.21,-8.1,-2.9,-11.0,-0.2
Alton Lister,C,36,MIL,60.0,776.0,10.2,0.507,0.007,0.522,10.1,27.0,18.3,2.3,1.1,5.5,18.7,11.6,0.0,1.0,1.0,0.062,-4.8,1.1,-3.6,-0.3
Andrew Lang,C,28,ATL,82.0,2340.0,13.1,0.523,0.004,0.278,7.5,15.4,11.3,5.0,1.0,4.6,12.4,16.8,1.4,3.4,4.9,0.1,-2.9,1.0,-1.9,0.0
Andrés Guibert,PF,26,MIN,17.0,167.0,8.3,0.406,0.085,0.404,11.9,21.1,16.5,9.8,2.5,0.4,17.8,18.4,-0.2,0.2,-0.1,-0.02,-5.2,-1.6,-6.8,-0.2
Anfernee Hardaway,PG,23,ORL,77.0,2901.0,20.8,0.599,0.218,0.405,5.7,7.5,6.6,28.5,2.3,0.6,16.1,23.7,8.2,2.5,10.7,0.177,4.4,-0.3,4.1,4.5
Anthony Avent,PF,25,ORL,71.0,1066.0,9.8,0.466,0.0,0.307,10.7,20.4,15.7,5.0,1.3,3.2,16.1,13.3,0.1,1.5,1.5,0.069,-4.1,0.1,-4.0,-0.5
Anthony Bonner,PF,26,NYK,58.0,1126.0,9.4,0.497,0.026,0.347,12.2,15.0,13.7,10.5,2.2,1.5,26.2,12.3,-0.2,2.0,1.8,0.079,-3.5,2.0,-1.6,0.1
Anthony Bowie,SG,31,ORL,77.0,1261.0,11.7,0.532,0.108,0.198,5.1,7.5,6.3,17.3,1.9,1.1,17.7,16.6,1.0,1.0,2.0,0.077,-1.8,-0.1,-1.9,0.0
Anthony Mason,PF,28,NYK,77.0,2496.0,14.9,0.599,0.002,0.588,8.9,21.2,15.3,15.0,1.5,0.6,16.2,14.0,4.2,4.4,8.6,0.166,0.2,1.7,1.9,2.5
Anthony Miller,PF,23,LAL,46.0,527.0,14.7,0.571,0.038,0.576,14.1,17.8,15.9,9.6,1.9,0.9,18.7,16.6,0.6,0.6,1.2,0.111,-1.3,-0.8,-2.1,0.0
Anthony Peeler,SG,25,LAL,73.0,1559.0,13.8,0.528,0.328,0.194,4.4,7.5,6.0,12.2,1.7,0.6,10.3,22.0,1.6,0.8,2.4,0.073,0.0,-1.7,-1.7,0.1
Anthony Tucker,SF,25,WSB,62.0,982.0,9.2,0.493,0.005,0.395,5.0,15.3,10.0,9.9,2.4,0.8,18.5,13.5,-0.2,0.9,0.6,0.03,-3.8,0.7,-3.1,-0.3
Antoine Carr,C,33,UTA,78.0,1677.0,13.9,0.588,0.007,0.368,6.4,13.0,9.9,6.2,0.7,3.3,12.1,19.5,2.4,1.9,4.3,0.123,-1.4,-0.2,-1.6,0.2
Antonio Davis,PF,26,IND,44.0,1030.0,11.9,0.521,0.0,0.71,12.6,20.1,16.4,3.7,1.0,2.2,16.6,17.1,0.5,1.5,2.0,0.095,-2.5,-0.3,-2.8,-0.2
Antonio Harvey,PF,24,LAL,59.0,572.0,10.3,0.457,0.006,0.256,7.5,12.2,9.9,5.8,1.3,5.0,11.3,16.6,-0.2,0.6,0.4,0.032,-4.3,0.1,-4.2,-0.3
Antonio Lang,SF,22,PHO,12.0,53.0,0.3,0.468,0.0,0.4,6.5,2.2,4.3,2.4,0.0,2.8,29.8,13.7,-0.1,0.0,-0.1,-0.083,-8.0,-3.0,-11.0,-0.1
Armen Gilliam,PF,30,NJN,82.0,2472.0,18.1,0.562,0.002,0.433,8.5,18.7,13.6,7.2,1.4,2.5,12.4,21.8,3.6,3.0,6.6,0.128,0.7,0.0,0.7,1.7
Askia Jones,SG,23,MIN,11.0,139.0,8.3,0.441,0.273,0.364,5.4,4.4,4.9,19.3,2.3,0.0,15.0,19.7,-0.1,0.0,-0.1,-0.021,-4.3,-2.1,-6.4,-0.2
Avery Johnson,PG,29,SAS,82.0,3011.0,15.7,0.554,0.025,0.342,1.9,5.7,3.9,33.4,1.9,0.3,17.3,17.5,5.1,3.0,8.0,0.128,1.2,0.0,1.2,2.4
B.J. Armstrong,PG,27,CHI,82.0,2577.0,15.1,0.577,0.283,0.261,1.1,7.4,4.3,14.7,1.7,0.2,9.4,19.0,5.4,2.8,8.1,0.152,1.0,-0.1,1.0,1.9
B.J. Tyler,PG,23,PHI,55.0,809.0,8.5,0.462,0.27,0.265,1.9,7.1,4.5,32.8,2.3,0.2,31.5,17.0,-1.2,0.5,-0.7,-0.039,-3.2,-1.9,-5.0,-0.6
Benoit Benjamin,C,30,NJN,61.0,1598.0,13.9,0.555,0.0,0.33,6.4,23.7,15.1,4.2,0.7,2.8,17.1,20.1,0.1,2.1,2.2,0.066,-2.6,-0.2,-2.8,-0.3
Bill Cartwright,C,37,SEA,29.0,430.0,4.0,0.434,0.0,0.348,7.0,16.8,12.0,3.0,0.7,0.5,18.5,9.8,-0.2,0.4,0.2,0.021,-5.2,-1.0,-6.2,-0.5
Bill Curley,PF,22,DET,53.0,595.0,9.0,0.477,0.0,0.269,10.6,13.9,12.2,6.2,1.8,2.6,14.3,13.2,0.1,0.4,0.5,0.042,-5.0,-0.2,-5.2,-0.5
Bill Wennington,C,31,CHI,73.0,956.0,11.6,0.527,0.013,0.199,7.9,15.5,11.7,6.5,1.2,1.3,10.2,17.9,1.0,1.3,2.3,0.116,-3.9,-0.1,-4.1,-0.5
Billy Owens,SG,25,MIA,70.0,2296.0,15.6,0.523,0.027,0.382,10.2,15.6,12.8,17.3,1.8,1.0,17.6,22.3,1.2,2.1,3.2,0.067,0.6,-0.4,0.2,1.2
Bimbo Coles,PG,26,MIA,68.0,2207.0,12.5,0.497,0.125,0.287,2.4,7.9,5.1,27.9,2.3,0.5,18.6,16.8,1.2,1.6,2.8,0.06,-1.3,-0.2,-1.5,0.3
Bison Dele,C,25,DEN,63.0,1261.0,13.9,0.616,0.0,0.486,9.6,18.5,14.2,6.8,1.6,2.5,22.0,18.5,0.8,1.5,2.3,0.089,-2.5,0.4,-2.1,0.0
Blue Edwards,SF,29,BOS-UTA,67.0,1112.0,11.6,0.531,0.191,0.229,5.5,8.5,7.0,10.7,2.0,1.1,15.8,20.5,0.2,1.0,1.2,0.053,-2.0,-0.5,-2.5,-0.1
