Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.J. Green,SG,23,MIL,35.0,345.0,11.5,0.607,0.84,0.032,1.9,11.3,6.8,8.7,0.8,0.0,6.6,16.6,0.5,0.3,0.8,0.111,-0.3,-0.6,-0.9,0.1
A.J. Lawson,SG,22,MIN-DAL,15.0,108.0,13.9,0.589,0.568,0.182,6.4,16.3,11.3,3.0,0.9,0.0,5.9,21.1,0.1,0.1,0.1,0.063,-1.5,-2.9,-4.4,-0.1
AJ Griffin,SF,19,ATL,72.0,1401.0,12.6,0.577,0.486,0.088,2.9,9.2,6.0,7.0,1.4,0.7,7.1,17.9,1.3,0.9,2.2,0.075,-0.3,-0.5,-0.8,0.4
Aaron Gordon,PF,27,DEN,68.0,2055.0,19.5,0.617,0.227,0.413,9.4,15.4,12.5,14.2,1.3,2.2,9.8,21.1,4.6,2.2,6.8,0.158,2.4,-0.3,2.1,2.1
Aaron Holiday,PG,26,ATL,63.0,845.0,9.4,0.528,0.4,0.145,3.2,6.4,4.8,13.0,2.1,1.2,13.3,13.4,0.3,0.6,0.9,0.053,-2.9,0.9,-2.0,0.0
Aaron Nesmith,SF,23,IND,73.0,1816.0,10.5,0.566,0.532,0.241,3.8,13.1,8.5,7.4,1.4,1.6,10.3,16.8,0.9,1.1,2.0,0.052,-2.3,-0.7,-3.0,-0.4
Aaron Wiggins,SG,24,OKC,70.0,1297.0,12.2,0.607,0.336,0.196,5.5,12.0,8.7,8.3,1.4,1.1,12.2,14.5,1.4,1.2,2.6,0.097,-1.5,-0.5,-2.1,0.0
Admiral Schofield,PF,25,ORL,37.0,451.0,10.1,0.587,0.607,0.189,5.8,9.8,7.8,9.6,0.9,1.1,10.8,14.1,0.5,0.3,0.8,0.089,-2.2,-0.7,-2.9,-0.1
Al Horford,C,36,BOS,63.0,1922.0,13.8,0.631,0.678,0.044,4.2,17.7,11.1,13.2,0.8,2.7,7.0,11.9,3.6,2.7,6.3,0.157,1.6,1.7,3.3,2.5
Alec Burks,SG,31,DET,51.0,1122.0,16.5,0.602,0.521,0.41,1.8,14.2,7.8,15.9,1.6,0.6,9.7,22.8,1.9,0.6,2.5,0.109,1.8,-0.5,1.2,0.9
Aleksej Pokusevski,PF,21,OKC,34.0,701.0,13.4,0.522,0.418,0.141,6.8,17.8,12.2,12.4,1.4,5.7,14.0,18.3,0.0,1.0,1.0,0.066,-1.0,1.0,0.0,0.3
Alex Caruso,PG,28,CHI,67.0,1575.0,11.5,0.588,0.528,0.255,3.1,10.9,7.1,15.4,3.0,2.8,19.5,11.1,1.0,2.6,3.6,0.109,-2.2,3.3,1.1,1.2
Alex Len,C,29,SAC,26.0,161.0,12.8,0.58,0.067,0.533,17.2,25.4,21.3,9.3,1.2,6.0,30.2,14.1,0.1,0.2,0.3,0.085,-4.9,0.9,-4.0,-0.1
Alize Johnson,PF,26,SAS,4.0,30.0,4.3,0.509,0.333,0.333,7.0,30.3,18.2,4.2,1.6,0.0,36.8,15.0,-0.1,0.0,-0.1,-0.099,-7.4,-1.7,-9.1,-0.1
Alondes Williams,SG,23,BRK,1.0,5.0,-20.9,,,,0.0,22.0,11.2,0.0,0.0,0.0,100.0,17.7,-0.1,0.0,-0.1,-0.517,-21.3,-5.2,-26.5,0.0
Alperen Şengün,C,20,HOU,75.0,2171.0,19.7,0.599,0.071,0.36,12.1,22.3,17.1,21.0,1.6,3.2,17.3,21.4,3.4,1.8,5.2,0.115,1.1,0.4,1.4,1.9
Amir Coffey,SF,25,LAC,50.0,625.0,7.0,0.498,0.276,0.434,3.1,6.4,4.7,11.2,0.5,0.7,10.8,13.5,0.1,0.3,0.4,0.033,-4.3,-0.7,-5.0,-0.5
Andre Drummond,C,29,CHI,67.0,849.0,20.8,0.606,0.011,0.456,18.7,40.2,29.6,5.7,2.6,3.1,18.6,21.0,0.8,2.0,2.8,0.159,-1.2,0.5,-0.8,0.3
Andre Iguodala,PF,39,GSW,8.0,113.0,7.3,0.521,0.6,0.2,3.0,13.4,8.3,20.3,1.7,2.3,35.5,9.4,0.0,0.1,0.1,0.044,-4.3,1.7,-2.5,0.0
Andrew Nembhard,SG,23,IND,75.0,2073.0,10.0,0.528,0.408,0.096,1.9,8.8,5.3,22.4,1.6,0.5,15.8,16.1,0.4,0.8,1.2,0.029,-2.4,-0.8,-3.2,-0.6
Andrew Wiggins,SF,27,GSW,37.0,1190.0,14.7,0.564,0.425,0.136,5.7,11.3,8.6,10.5,1.8,2.1,7.9,21.5,1.0,1.3,2.3,0.091,-0.1,-0.4,-0.5,0.5
Anfernee Simons,SG,23,POR,62.0,2171.0,14.8,0.581,0.538,0.171,0.9,7.6,4.3,18.6,0.9,0.6,10.2,25.1,2.1,0.3,2.5,0.054,1.3,-2.5,-1.1,0.5
Anthony Davis,C,29,LAL,56.0,1904.0,27.8,0.627,0.077,0.462,11.3,27.6,19.7,13.0,1.5,5.1,9.5,28.4,5.5,3.4,9.0,0.226,4.6,1.7,6.3,4.0
Anthony Edwards,SG,21,MIN,79.0,2842.0,17.4,0.564,0.375,0.274,1.9,15.9,9.0,19.3,2.1,1.8,13.0,29.9,0.2,3.6,3.8,0.064,1.0,0.0,1.0,2.1
Anthony Gill,PF,30,WAS,59.0,624.0,11.1,0.604,0.22,0.508,6.9,10.6,8.8,7.2,0.5,1.6,8.5,12.3,1.0,0.4,1.3,0.101,-2.4,-0.9,-3.3,-0.2
Anthony Lamb,SF,25,GSW,62.0,1195.0,10.9,0.61,0.634,0.191,5.3,14.4,9.9,10.5,1.1,1.5,13.7,13.8,1.2,1.2,2.4,0.096,-1.6,0.4,-1.1,0.3
Austin Reaves,SG,24,LAL,64.0,1843.0,14.9,0.687,0.441,0.541,2.0,9.0,5.6,15.7,0.8,0.9,14.0,16.2,4.1,1.4,5.4,0.142,0.6,0.1,0.7,1.2
Austin Rivers,SG,30,MIN,52.0,1016.0,7.4,0.564,0.589,0.187,0.6,8.4,4.6,9.3,1.3,0.3,9.2,10.5,0.5,0.8,1.3,0.061,-3.3,0.5,-2.8,-0.2
Ayo Dosunmu,SG,23,CHI,80.0,2098.0,10.2,0.567,0.332,0.144,2.5,9.3,5.9,13.2,1.4,1.2,14.0,14.9,0.7,2.2,2.9,0.067,-3.0,0.6,-2.5,-0.2
