Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.J. Price,PG,26,WAS,57.0,1278.0,12.4,0.501,0.484,0.15,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18.0,1.0,1.2,2.2,0.084,-0.2,-0.4,-0.6,0.5
Aaron Brooks,PG,28,SAC-HOU,53.0,997.0,11.8,0.555,0.424,0.165,1.5,7.9,4.6,18.0,1.5,0.8,16.5,18.1,0.8,0.0,0.8,0.041,-0.8,-1.4,-2.2,0.0
Aaron Gray,C,28,TOR,42.0,513.0,9.0,0.544,0.0,0.489,10.9,20.0,15.4,9.9,0.7,0.8,24.8,13.1,0.2,0.4,0.5,0.05,-3.9,-0.4,-4.3,-0.3
Al Harrington,C,32,ORL,10.0,119.0,10.3,0.434,0.526,0.07,5.7,19.9,12.8,13.7,1.8,0.6,10.6,25.1,-0.1,0.1,0.0,-0.012,-3.0,-1.5,-4.5,-0.1
Al Horford,C,26,ATL,74.0,2756.0,19.8,0.56,0.006,0.196,8.2,23.0,15.7,15.3,1.5,2.2,11.3,21.8,4.7,4.1,8.8,0.153,1.3,0.6,1.9,2.7
Al Jefferson,C,28,UTA,78.0,2578.0,20.9,0.522,0.014,0.176,7.0,25.9,16.3,12.0,1.6,2.7,7.3,25.3,4.3,3.3,7.7,0.143,2.2,0.1,2.4,2.8
Al-Farouq Aminu,SF,22,NOH,76.0,2066.0,13.7,0.519,0.04,0.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,0.7,2.4,3.1,0.073,-1.3,1.2,-0.1,1.0
Alan Anderson,SF,30,TOR,65.0,1495.0,12.6,0.509,0.463,0.239,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,0.8,0.8,1.6,0.052,-0.5,-1.3,-1.8,0.1
Alec Burks,SG,21,UTA,64.0,1137.0,11.5,0.507,0.237,0.332,3.8,11.2,7.5,13.0,1.6,0.9,14.3,20.7,0.3,0.7,1.0,0.044,-1.9,-0.7,-2.6,-0.2
Alexey Shved,SG,24,MIN,77.0,1840.0,11.0,0.474,0.454,0.236,2.5,8.6,5.4,25.2,1.5,1.1,17.3,20.6,-0.6,1.4,0.8,0.02,-1.1,-0.6,-1.7,0.1
Alonzo Gee,SF,25,CLE,82.0,2541.0,10.5,0.505,0.294,0.276,3.3,11.7,7.3,8.2,2.2,0.9,13.7,16.9,0.5,1.5,1.9,0.036,-2.2,-0.3,-2.6,-0.4
Amar'e Stoudemire,PF,30,NYK,29.0,682.0,22.1,0.637,0.0,0.487,10.0,15.1,12.4,3.6,0.8,2.7,13.4,25.7,2.1,0.6,2.7,0.191,1.6,-0.9,0.7,0.5
Amir Johnson,PF,25,TOR,81.0,2325.0,17.3,0.591,0.021,0.309,11.4,20.0,15.6,8.7,1.8,3.8,14.5,16.1,4.4,2.9,7.3,0.151,0.0,1.0,1.0,1.8
Anderson Varejão,C,30,CLE,25.0,901.0,21.7,0.529,0.017,0.353,16.9,30.1,23.2,15.4,2.1,1.3,11.6,18.7,2.2,1.1,3.3,0.173,3.8,-0.1,3.7,1.3
Andray Blatche,C,26,BRK,82.0,1555.0,21.9,0.547,0.033,0.32,12.2,19.6,15.8,10.5,3.0,2.7,13.8,26.5,2.4,2.5,4.9,0.153,1.3,0.9,2.2,1.6
Andre Drummond,C,19,DET,60.0,1243.0,21.6,0.578,0.006,0.465,15.4,27.2,21.2,4.1,2.5,6.1,12.2,17.2,2.2,2.3,4.5,0.172,1.0,1.5,2.5,1.4
Andre Iguodala,SG,29,DEN,80.0,2779.0,15.2,0.52,0.327,0.307,3.4,13.5,8.5,22.4,2.5,1.5,17.1,18.8,2.4,3.2,5.6,0.097,1.2,1.4,2.6,3.3
Andre Miller,PG,36,DEN,82.0,2151.0,15.7,0.548,0.101,0.307,3.2,9.1,6.2,32.2,1.7,0.4,19.3,17.9,3.9,1.5,5.4,0.12,1.1,-0.2,0.9,1.6
Andrea Bargnani,PF,27,TOR,35.0,1003.0,11.2,0.482,0.289,0.181,3.0,12.3,7.6,6.6,1.1,1.8,10.5,23.8,-0.5,0.6,0.1,0.007,-1.1,-1.6,-2.7,-0.2
Andrei Kirilenko,SF,31,MIN,64.0,2034.0,17.6,0.59,0.214,0.446,5.6,15.1,10.2,14.4,2.4,2.4,15.1,17.4,3.4,2.6,6.0,0.142,1.8,1.8,3.5,2.9
Andrew Bogut,C,28,GSW,32.0,786.0,13.8,0.463,0.005,0.207,9.8,24.1,17.2,12.5,1.3,5.5,14.8,13.4,0.4,1.4,1.7,0.106,-1.4,2.8,1.4,0.7
Andrew Goudelock,SG,24,LAL,1.0,6.0,-6.4,0.0,0.0,0.0,18.9,0.0,9.2,0.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0,-0.264,-9.7,-6.2,-15.9,0.0
Andrew Nicholson,PF,23,ORL,75.0,1249.0,15.1,0.557,0.0,0.193,6.2,17.1,11.7,6.1,1.0,2.0,13.0,22.1,0.9,0.8,1.7,0.065,-1.8,-0.9,-2.7,-0.2
Andris Biedriņš,C,26,GSW,53.0,495.0,7.7,0.449,0.0,0.619,7.8,25.7,17.0,3.7,1.5,6.6,34.4,3.7,0.1,1.0,1.1,0.102,-4.8,3.8,-1.0,0.1
Antawn Jamison,PF,36,LAL,76.0,1636.0,15.3,0.561,0.405,0.237,7.5,16.6,12.2,5.0,0.9,1.0,7.7,18.7,3.0,1.3,4.3,0.126,1.0,-1.1,-0.1,0.8
Anthony Davis,PF,19,NOH,64.0,1846.0,21.7,0.559,0.009,0.333,10.5,23.5,16.8,6.1,2.2,5.1,10.3,21.8,3.7,2.4,6.1,0.159,1.8,0.7,2.5,2.1
Anthony Morrow,SG,27,ATL-DAL,41.0,383.0,12.0,0.53,0.297,0.152,3.3,5.6,4.5,5.6,1.8,0.2,4.9,19.6,0.4,0.3,0.7,0.084,-1.9,0.0,-1.8,0.0
Anthony Randolph,PF,23,DEN,39.0,329.0,15.6,0.534,0.07,0.395,10.1,22.1,16.2,5.5,2.9,5.0,21.7,22.5,-0.1,0.6,0.5,0.073,-3.6,0.7,-2.9,-0.1
Anthony Tolliver,SF,27,ATL,62.0,963.0,8.4,0.531,0.616,0.236,3.7,14.5,9.2,4.8,0.8,1.0,13.1,13.2,0.3,0.9,1.2,0.059,-2.5,-0.5,-3.1,-0.3
Arnett Moultrie,PF,22,PHI,47.0,542.0,16.7,0.595,0.0,0.209,15.4,14.8,15.1,2.9,1.7,1.4,11.5,14.1,1.1,0.6,1.7,0.149,0.0,-1.2,-1.2,0.1
Aron Baynes,C,26,SAS,16.0,141.0,8.8,0.521,0.028,0.333,10.4,15.5,13.1,5.2,0.4,3.1,21.0,17.1,0.0,0.2,0.1,0.05,-6.4,-0.6,-7.0,-0.2
Arron Afflalo,SF,27,ORL,64.0,2307.0,13.0,0.527,0.265,0.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,1.5,0.5,2.0,0.042,-1.1,-1.8,-2.9,-0.5
Austin Daye,SF,24,DET-MEM,55.0,676.0,12.9,0.554,0.471,0.163,2.7,18.8,10.6,10.1,1.1,2.6,11.5,17.1,0.8,0.9,1.6,0.117,-0.7,1.1,0.4,0.4
Austin Rivers,SG,20,NOH,61.0,1418.0,5.9,0.431,0.221,0.277,1.3,8.0,4.6,13.9,1.0,0.5,14.5,16.8,-1.2,0.1,-1.1,-0.038,-4.7,-1.6,-6.2,-1.5
Avery Bradley,PG,22,BOS,50.0,1435.0,8.8,0.461,0.264,0.103,2.5,6.5,4.6,11.6,2.3,1.0,12.6,18.8,-1.3,1.6,0.4,0.012,-4.0,0.3,-3.7,-0.6
Ben Gordon,SG,29,CHA,75.0,1560.0,12.7,0.515,0.384,0.167,1.3,8.5,4.8,17.6,1.2,0.8,14.3,27.8,-0.4,-0.2,-0.6,-0.018,-0.2,-3.2,-3.4,-0.6
Ben Hansbrough,PG,25,IND,28.0,200.0,7.2,0.501,0.511,0.6,1.1,8.8,5.0,16.1,1.9,0.7,24.0,17.1,-0.1,0.3,0.2,0.044,-5.2,1.0,-4.2,-0.1
Beno Udrih,SG-PG,30,MIL-ORL,66.0,1457.0,14.2,0.516,0.214,0.216,2.5,8.2,5.3,32.3,1.5,0.2,17.2,19.3,1.5,0.7,2.2,0.071,0.0,-1.4,-1.4,0.2
Bernard James,C,27,DAL,46.0,457.0,14.7,0.541,0.019,0.398,12.9,18.9,16.0,1.9,1.3,6.5,12.9,13.9,0.5,0.7,1.2,0.125,-2.4,0.7,-1.6,0.0
Bismack Biyombo,C,20,CHA,80.0,2186.0,10.1,0.472,0.0,0.41,9.9,20.9,15.2,2.5,0.7,5.3,16.7,10.2,0.1,1.3,1.4,0.031,-3.6,-0.8,-4.4,-1.3
Blake Griffin,PF,23,LAC,80.0,2598.0,22.4,0.572,0.026,0.397,8.7,21.5,15.2,19.9,2.0,1.6,12.8,25.4,6.8,3.9,10.6,0.196,3.2,0.8,4.1,4.0
Boris Diaw,PF,30,SAS,75.0,1709.0,11.9,0.603,0.235,0.196,4.7,12.0,8.6,15.0,1.6,1.1,18.9,12.0,2.2,2.3,4.4,0.124,-0.7,1.5,0.8,1.2
Bradley Beal,SG,19,WAS,56.0,1745.0,13.6,0.515,0.344,0.231,2.7,10.8,6.7,13.7,1.5,1.3,10.6,22.2,1.0,2.0,3.0,0.082,0.0,0.2,0.2,1.0
Brandan Wright,C,25,DAL,64.0,1149.0,21.0,0.606,0.007,0.238,8.4,16.7,12.6,5.6,1.2,5.2,7.1,19.0,2.8,1.3,4.1,0.172,2.1,0.4,2.5,1.3
Brandon Bass,PF,27,BOS,81.0,2239.0,12.3,0.535,0.003,0.255,7.0,15.2,11.2,6.0,1.0,2.3,10.9,15.5,2.0,2.7,4.7,0.101,-1.9,0.0,-1.9,0.1
Brandon Jennings,PG,23,MIL,80.0,2897.0,16.1,0.51,0.37,0.225,2.1,7.2,4.6,29.1,2.2,0.3,12.9,23.7,3.6,2.2,5.8,0.096,1.7,-0.6,1.1,2.2
Brandon Knight,PG,21,DET,75.0,2365.0,12.0,0.511,0.372,0.256,2.6,9.6,6.0,21.3,1.3,0.3,17.3,22.8,0.3,0.8,1.1,0.022,-0.9,-1.9,-2.8,-0.5
Brandon Roy,SG,28,MIN,5.0,122.0,8.3,0.368,0.257,0.286,2.7,10.6,6.6,28.8,1.3,0.0,15.1,17.0,-0.1,0.1,0.0,-0.017,-3.5,-0.8,-4.2,-0.1
Brandon Rush,SF,27,GSW,2.0,25.0,11.9,0.678,0.222,0.333,0.0,4.3,2.2,14.5,0.0,0.0,22.5,23.9,0.0,0.0,0.0,0.051,-2.7,1.7,-1.0,0.0
Brendan Haywood,C,33,CHA,61.0,1162.0,8.7,0.441,0.005,0.306,12.0,16.7,14.3,3.9,0.7,3.4,16.9,11.5,-0.2,0.4,0.1,0.006,-4.2,-1.8,-6.0,-1.2
Brian Roberts,PG,27,NOH,78.0,1324.0,14.6,0.509,0.299,0.151,1.5,7.3,4.4,28.2,1.5,0.2,11.5,21.6,2.0,0.2,2.2,0.078,0.8,-1.4,-0.6,0.5
Brook Lopez,C,24,BRK,74.0,2253.0,24.7,0.567,0.001,0.358,10.8,16.1,13.4,6.4,0.8,5.2,9.4,28.6,6.4,2.6,9.0,0.191,3.4,-0.2,3.2,3.0
Byron Mullens,PF,23,CHA,53.0,1428.0,12.3,0.465,0.369,0.176,5.5,22.0,13.5,10.1,1.2,1.8,10.9,21.7,-0.6,0.7,0.1,0.005,-1.4,-2.0,-3.4,-0.5
C.J. Miles,SF,25,CLE,65.0,1364.0,15.3,0.551,0.534,0.174,1.9,13.4,7.4,8.1,1.9,1.0,9.5,23.9,1.8,0.8,2.6,0.092,2.0,-0.9,1.1,1.1
C.J. Watson,PG,28,BRK,80.0,1521.0,13.9,0.544,0.466,0.198,2.9,8.4,5.6,17.2,2.3,0.6,12.1,17.2,2.5,1.3,3.8,0.12,0.3,0.6,0.9,1.1
Carl Landry,PF,29,GSW,81.0,1876.0,17.5,0.605,0.005,0.453,10.9,17.3,14.2,5.6,0.9,1.3,13.7,20.0,4.3,1.9,6.2,0.159,0.5,-0.7,-0.2,0.8
