Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.C. Green,PF,30,PHO,82.0,2825.0,17.0,0.555,0.038,0.391,11.1,18.8,15.0,6.9,1.2,0.8,8.4,17.6,6.7,2.6,9.3,0.157,1.8,-1.2,0.6,1.8
Aaron Williams,PF,22,UTA,6.0,12.0,-7.0,0.237,0.0,0.125,9.8,19.0,14.4,13.0,0.0,0.0,10.6,34.8,-0.1,0.0,-0.1,-0.327,-17.6,-6.3,-23.9,-0.1
Acie Earl,C,23,BOS,74.0,1149.0,9.2,0.463,0.003,0.43,8.3,16.0,12.1,1.5,1.0,2.9,14.0,19.4,-0.7,0.9,0.2,0.008,-5.2,-1.4,-6.5,-1.3
Adam Keefe,PF,23,ATL,63.0,763.0,12.0,0.521,0.0,0.521,11.1,17.9,14.5,6.4,1.3,0.8,18.6,18.1,0.3,1.1,1.4,0.091,-2.9,-0.6,-3.5,-0.3
Adonis Jordan,PG,23,DEN,6.0,79.0,5.6,0.326,0.435,0.0,4.4,4.1,4.2,33.3,0.0,0.8,20.7,15.6,-0.1,0.0,-0.1,-0.037,-2.2,-3.0,-5.3,-0.1
Alaa Abdelnaby,PF,25,BOS,13.0,159.0,9.2,0.485,0.0,0.455,8.5,24.2,16.3,2.7,0.6,1.2,20.5,22.6,-0.2,0.1,-0.1,-0.032,-5.3,-2.2,-7.4,-0.2
Alec Kessler,PF,27,MIA,15.0,66.0,11.8,0.579,0.36,0.32,6.9,10.3,8.6,4.7,0.8,1.0,14.9,21.9,0.1,0.0,0.1,0.102,-1.7,-1.4,-3.1,0.0
Allan Houston,SG,22,DET,79.0,1519.0,9.0,0.465,0.174,0.161,1.4,7.5,4.4,10.5,1.1,0.6,12.1,23.6,-1.3,0.1,-1.2,-0.038,-3.8,-2.1,-5.8,-1.5
Alonzo Mourning,C,23,CHH,60.0,2018.0,21.7,0.588,0.002,0.672,10.0,23.0,16.7,6.6,0.7,5.7,15.4,27.3,3.8,2.5,6.3,0.151,1.2,0.2,1.4,1.7
Alphonso Ford,PG,22,SEA,6.0,16.0,28.9,0.576,0.077,0.154,0.0,0.0,0.0,15.3,6.3,0.0,6.7,39.9,0.0,0.0,0.1,0.193,3.8,3.4,7.3,0.0
Andre Spencer,SF,29,GSW-SAC,28.0,349.0,15.6,0.523,0.0,0.653,9.2,13.6,11.4,9.5,2.7,1.3,12.1,20.8,0.4,0.3,0.8,0.109,-0.1,0.6,0.6,0.2
Andrew Gaze,SG,28,WSB,7.0,70.0,10.5,0.615,0.471,0.118,1.6,10.2,5.8,10.3,1.4,0.9,14.4,12.8,0.1,0.0,0.1,0.074,-1.7,-1.1,-2.8,0.0
Andrew Lang,C,27,ATL,82.0,1608.0,11.0,0.499,0.009,0.231,8.6,12.8,10.7,4.6,1.2,3.5,13.8,15.6,0.5,2.4,2.9,0.087,-3.4,0.5,-2.9,-0.4
Andrés Guibert,C,25,MIN,5.0,33.0,6.1,0.331,0.0,0.3,36.4,20.8,28.4,10.5,0.0,1.9,20.9,37.9,-0.2,0.0,-0.2,-0.243,-9.6,-8.9,-18.5,-0.1
Anfernee Hardaway,PG,22,ORL,82.0,3015.0,17.4,0.531,0.171,0.302,7.2,9.1,8.2,26.6,3.2,1.1,19.1,21.7,3.8,3.3,7.1,0.112,1.9,1.0,2.9,3.8
Anthony Avent,PF,24,MIL-ORL,74.0,1371.0,9.2,0.43,0.0,0.309,11.7,16.4,14.0,6.8,1.2,1.5,15.8,16.9,-0.6,1.0,0.4,0.014,-3.7,-1.4,-5.1,-1.1
Anthony Bonner,SF,25,NYK,73.0,1402.0,12.6,0.56,0.0,0.365,12.4,15.4,13.9,9.4,2.8,0.7,21.0,13.2,0.9,3.2,4.1,0.14,-1.4,2.4,1.0,1.1
Anthony Bowie,SG,30,ORL,70.0,948.0,11.5,0.515,0.062,0.17,3.5,10.7,7.1,15.4,1.7,0.8,15.7,16.6,0.6,0.7,1.3,0.065,-1.9,0.2,-1.7,0.1
Anthony Cook,PF,26,ORL-MIL,25.0,203.0,11.3,0.477,0.019,0.463,10.7,21.6,15.8,3.1,0.8,4.6,15.6,16.4,-0.1,0.2,0.1,0.02,-3.8,-1.1,-4.9,-0.1
Anthony Mason,PF,27,NYK,73.0,1903.0,10.8,0.524,0.002,0.372,9.6,15.7,12.7,11.7,0.8,0.3,17.5,14.1,1.6,3.3,4.9,0.123,-1.5,0.9,-0.7,0.6
Anthony Peeler,SG,24,LAL,30.0,923.0,13.4,0.48,0.154,0.174,5.4,7.5,6.4,15.9,2.3,0.5,11.8,22.8,0.3,0.4,0.8,0.04,-1.1,-1.0,-2.0,0.0
Antoine Carr,PF,32,SAS,34.0,465.0,12.8,0.534,0.006,0.363,3.1,9.0,6.2,5.1,1.0,3.1,7.5,19.3,0.7,0.5,1.2,0.124,-2.2,0.5,-1.7,0.0
Antonio Davis,PF,25,IND,81.0,1732.0,15.2,0.561,0.002,0.711,13.2,20.3,16.9,4.7,1.3,3.3,16.1,16.8,2.3,2.8,5.0,0.139,-0.2,0.3,0.1,0.9
Antonio Harvey,PF,23,LAL,27.0,247.0,8.0,0.387,0.0,0.329,11.0,15.1,13.0,2.8,1.6,4.8,15.8,18.3,-0.4,0.2,-0.2,-0.039,-5.8,-1.1,-6.9,-0.3
Armen Gilliam,PF,29,NJN,82.0,1969.0,18.5,0.577,0.001,0.529,10.4,16.5,13.4,5.6,1.0,1.9,11.2,20.3,4.6,2.2,6.8,0.166,1.7,-0.6,1.0,1.5
Avery Johnson,PG,28,GSW,82.0,2332.0,13.9,0.533,0.017,0.349,1.9,6.2,4.1,25.3,2.3,0.2,17.1,17.8,2.6,1.5,4.1,0.085,-0.6,-0.4,-1.1,0.5
B.J. Armstrong,PG,26,CHI,82.0,2770.0,14.5,0.547,0.134,0.225,1.2,6.0,3.6,18.0,1.5,0.2,10.6,19.8,4.9,2.6,7.5,0.13,0.3,-0.4,-0.1,1.3
Ben Coleman,PF,32,DET,9.0,77.0,11.6,0.491,0.0,0.32,14.2,23.4,18.7,0.0,1.3,1.7,19.7,20.2,-0.1,0.1,0.0,-0.004,-3.9,-3.0,-6.9,-0.1
Benoit Benjamin,C,29,NJN,77.0,1817.0,14.2,0.525,0.0,0.363,7.7,21.5,14.5,3.8,1.0,3.1,12.4,18.1,1.4,2.6,4.1,0.107,-2.0,0.0,-2.1,0.0
Bill Cartwright,C,36,CHI,42.0,780.0,10.1,0.544,0.0,0.298,6.4,16.4,11.4,10.5,0.5,0.7,18.8,15.1,0.4,0.9,1.3,0.077,-2.5,-0.1,-2.6,-0.1
Bill Edwards,PF,22,PHI,3.0,44.0,-0.4,0.149,0.278,0.278,12.4,22.5,17.5,12.3,3.4,1.4,16.5,23.9,-0.3,0.1,-0.3,-0.282,-11.2,-2.4,-13.6,-0.1
Bill Laimbeer,C,36,DET,11.0,248.0,15.6,0.564,0.1,0.144,4.0,21.3,12.5,9.2,1.2,1.0,9.5,18.7,0.4,0.2,0.5,0.106,-0.5,0.4,-0.1,0.1
Bill Wennington,C,30,CHI,76.0,1371.0,14.0,0.52,0.004,0.183,10.0,20.2,15.1,7.9,1.6,1.5,12.6,19.2,1.3,2.3,3.5,0.124,-2.4,0.2,-2.3,-0.1
Billy Owens,PF,24,GSW,79.0,2738.0,15.6,0.532,0.015,0.336,9.3,15.9,12.6,16.8,1.5,1.3,16.1,20.0,3.0,2.6,5.7,0.099,0.5,-0.1,0.4,1.7
Bimbo Coles,PG,25,MIA,76.0,1726.0,13.0,0.51,0.191,0.252,3.3,7.2,5.2,22.7,2.2,0.5,15.7,17.1,1.8,1.4,3.2,0.089,-0.3,0.2,0.0,0.9
Bison Dele,C,24,DEN,80.0,1507.0,16.5,0.574,0.006,0.455,10.5,22.0,16.4,5.2,1.6,3.6,15.7,18.7,1.8,2.9,4.7,0.151,-0.9,1.3,0.4,0.9
Blue Edwards,SF,28,MIL,82.0,2322.0,12.9,0.54,0.133,0.236,4.9,11.8,8.1,12.1,1.8,0.8,14.2,19.2,1.7,1.2,2.9,0.06,-1.2,-1.0,-2.2,-0.1
Bo Outlaw,SF,22,LAC,37.0,871.0,14.3,0.605,0.012,0.617,10.0,15.8,12.9,5.6,2.0,2.6,12.7,11.5,1.5,0.9,2.3,0.127,-0.5,0.6,0.1,0.5
Bob Martin,C,24,LAC,53.0,535.0,6.9,0.503,0.0,0.58,7.2,15.9,11.6,4.1,0.7,3.7,20.8,10.8,-0.1,0.4,0.3,0.03,-5.9,0.5,-5.4,-0.5
Bobby Hurley,PG,22,SAC,19.0,499.0,8.4,0.421,0.11,0.205,1.3,6.3,3.7,33.1,1.3,0.1,23.2,17.5,-0.6,0.1,-0.5,-0.044,-3.3,-3.0,-6.4,-0.6
Bobby Phills,SG,24,CLE,72.0,1531.0,14.1,0.513,0.023,0.305,5.4,10.7,8.0,13.8,2.3,0.5,9.8,18.9,1.9,1.7,3.5,0.111,-1.1,0.5,-0.6,0.5
Brad Daugherty,C,28,CLE,50.0,1838.0,18.4,0.566,0.0,0.538,8.1,24.1,16.1,12.9,1.2,1.3,12.8,21.0,3.9,2.6,6.4,0.168,1.7,0.2,1.9,1.8
Brad Lohaus,PF,29,MIL,67.0,962.0,8.3,0.46,0.477,0.103,3.7,14.8,9.0,9.7,1.6,3.9,16.5,15.8,-0.7,0.8,0.1,0.004,-3.7,0.5,-3.3,-0.3
Brent Price,PG,25,WSB,65.0,1035.0,13.2,0.549,0.46,0.267,3.4,6.8,5.1,30.5,2.7,0.1,24.6,20.0,0.5,0.2,0.7,0.033,-0.2,-1.9,-2.1,0.0
Brian Davis,SF,23,MIN,68.0,374.0,9.2,0.42,0.024,0.54,6.7,10.4,8.6,9.1,2.2,0.7,10.9,20.4,-0.2,0.2,0.0,0.0,-3.5,-1.3,-4.7,-0.3
Brian Shaw,SG,27,MIA,77.0,2037.0,13.4,0.491,0.324,0.133,5.8,13.7,9.7,28.2,1.8,0.7,19.7,18.6,1.2,2.0,3.2,0.076,0.7,0.1,0.8,1.4
Bryant Stith,SG,23,DEN,82.0,2853.0,12.7,0.53,0.011,0.433,4.8,8.7,6.8,10.4,2.0,0.4,11.9,16.4,3.4,3.4,6.8,0.114,-0.8,0.8,0.0,1.4
Bryon Russell,SF,23,UTA,67.0,1121.0,11.1,0.516,0.079,0.362,6.4,12.2,9.3,7.0,3.1,1.2,14.5,14.9,0.4,1.7,2.1,0.089,-2.6,1.8,-0.8,0.3
Buck Williams,PF,33,POR,81.0,2636.0,14.0,0.598,0.002,0.565,12.5,22.8,17.4,4.1,1.1,1.1,14.5,11.8,4.7,3.2,7.9,0.143,-0.2,-0.4,-0.6,0.9
Byron Houston,PF,24,GSW,71.0,866.0,7.5,0.488,0.04,0.305,8.5,15.6,12.1,4.7,1.8,2.2,19.6,11.9,-0.1,1.0,0.9,0.05,-5.1,0.8,-4.4,-0.5
Byron Scott,SG,32,IND,67.0,1197.0,17.6,0.549,0.135,0.356,1.9,8.5,5.3,18.9,2.7,0.5,14.0,27.0,1.7,1.4,3.1,0.123,1.3,0.2,1.5,1.1
Calbert Cheaney,SG,22,WSB,65.0,1604.0,14.0,0.508,0.033,0.231,6.3,7.6,6.9,12.9,2.0,0.4,12.3,23.4,1.0,0.2,1.2,0.035,-0.9,-1.5,-2.4,-0.2
Carl Herrera,PF,27,HOU,75.0,1292.0,9.1,0.5,0.0,0.313,9.2,15.0,12.3,4.1,1.3,1.3,16.4,14.4,0.1,1.9,2.0,0.075,-3.9,0.3,-3.6,-0.5
Cedric Ceballos,SF,24,PHO,53.0,1602.0,20.9,0.566,0.011,0.278,10.9,13.3,12.1,9.4,1.8,0.9,9.4,25.8,4.1,1.4,5.5,0.166,3.2,-0.9,2.3,1.8
Chad Gallagher,C,24,UTA,2.0,3.0,66.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,0.1,0.0,0.1,1.442,20.4,9.6,30.1,0.0
Charles Barkley,PF,30,PHO,65.0,2298.0,22.8,0.563,0.17,0.432,9.8,25.6,17.8,20.0,2.2,1.0,14.2,26.5,5.6,3.3,8.8,0.185,4.5,0.7,5.2,4.2
Charles Jones,C,36,DET,42.0,877.0,8.7,0.489,0.013,0.436,11.1,18.7,14.8,4.3,0.8,3.2,11.4,5.2,0.9,0.6,1.5,0.083,-3.3,0.3,-3.0,-0.2
Charles Oakley,PF,30,NYK,82.0,2932.0,15.3,0.54,0.004,0.412,13.8,23.3,18.6,11.3,1.9,0.4,17.7,16.3,3.7,6.8,10.5,0.172,0.1,1.5,1.6,2.6
Charles Smith,SF,28,NYK,43.0,1105.0,11.3,0.496,0.04,0.305,6.9,9.9,8.5,7.2,1.2,2.9,12.4,20.4,0.4,2.0,2.4,0.104,-2.5,1.0,-1.5,0.2
Chris Corchiani,PG,25,BOS,51.0,467.0,10.4,0.528,0.404,0.404,1.9,8.7,5.3,24.5,2.4,0.3,25.6,13.8,0.1,0.3,0.4,0.038,-2.4,0.0,-2.4,0.0
Chris Dudley,C,28,POR,6.0,86.0,6.8,0.262,0.0,0.16,19.4,10.6,15.2,7.4,2.3,2.2,7.0,13.6,-0.1,0.1,0.0,0.022,-5.6,-1.2,-6.8,-0.1
Chris Gatling,C,26,GSW,82.0,1296.0,18.7,0.607,0.002,0.451,12.2,20.8,16.6,4.7,1.5,3.0,13.2,20.3,2.8,1.7,4.5,0.168,-0.1,-0.2,-0.4,0.6
Chris Jent,SF,24,HOU,3.0,78.0,11.0,0.577,0.423,0.077,6.0,14.8,10.7,14.0,0.0,0.0,15.7,18.1,0.1,0.1,0.2,0.1,-2.2,-2.2,-4.4,0.0
