Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.C. Green,SF,32,PHO,82.0,2113.0,12.9,0.558,0.117,0.534,9.2,20.9,15.2,4.9,1.1,0.8,12.6,13.2,2.7,1.7,4.4,0.1,-0.4,-0.9,-1.3,0.4
Aaron McKie,SG,23,POR,81.0,2259.0,13.4,0.534,0.162,0.276,4.4,10.9,7.7,14.6,2.1,0.7,14.3,18.3,2.1,3.2,5.3,0.113,-1.3,1.7,0.4,1.4
Acie Earl,C,25,TOR,42.0,655.0,14.1,0.484,0.011,0.413,9.2,14.3,11.7,6.9,1.4,4.3,13.1,25.2,-0.1,0.4,0.3,0.02,-3.1,-2.0,-5.1,-0.5
Adam Keefe,PF,25,UTA,82.0,1708.0,13.8,0.574,0.012,0.581,13.0,19.5,16.3,5.5,1.6,2.0,16.8,14.0,2.3,2.3,4.6,0.13,-0.5,0.0,-0.6,0.6
Adrian Caldwell,PF,29,IND,51.0,327.0,10.4,0.556,0.0,0.434,16.6,25.2,21.0,3.0,1.5,1.2,26.2,18.8,-0.2,0.5,0.3,0.044,-5.1,-0.7,-5.8,-0.3
Alan Henderson,PF,23,ATL,79.0,1416.0,12.9,0.482,0.007,0.461,13.2,16.7,14.9,5.8,1.7,2.4,14.3,19.3,0.5,1.6,2.0,0.069,-3.2,-0.9,-4.1,-0.8
Allan Houston,SG,24,DET,82.0,3072.0,15.7,0.576,0.359,0.291,2.2,9.3,5.9,15.5,1.1,0.4,14.2,25.4,4.2,3.0,7.1,0.112,1.9,-0.9,1.0,2.3
Alonzo Mourning,C,25,MIA,70.0,2671.0,22.7,0.584,0.028,0.662,9.7,21.7,15.9,11.4,1.4,5.5,15.9,28.1,4.4,5.5,9.9,0.178,2.2,2.0,4.2,4.2
Alton Lister,C,37,MIL-BOS,64.0,735.0,9.6,0.537,0.0,0.61,10.1,33.6,21.5,3.6,0.4,4.0,26.5,10.7,-0.1,1.0,0.9,0.06,-5.0,0.8,-4.2,-0.4
Alvin Heggs,SF,28,HOU,4.0,14.0,20.7,0.633,0.0,0.6,8.3,7.9,8.1,0.0,0.0,0.0,0.0,20.3,0.1,0.0,0.1,0.196,3.2,-2.4,0.8,0.0
