Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Magic Johnson,30,LAL,27.0,636.0,920,0.691,79,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,0.27
Charles Barkley,26,PHI,38.0,614.0,920,0.667,79,39.1,25.2,11.5,3.9,1.9,0.6,0.6,0.217,0.749,17.3,0.269
Michael Jordan,26,CHI,21.0,564.0,920,0.613,82,39.0,33.6,6.9,6.3,2.8,0.7,0.526,0.376,0.848,19.0,0.285
Karl Malone,26,UTA,2.0,214.0,920,0.233,82,38.1,31.0,11.1,2.8,1.5,0.6,0.562,0.372,0.762,15.9,0.245
Patrick Ewing,27,NYK,1.0,162.0,920,0.176,82,38.6,28.6,10.9,2.2,1.0,4.0,0.551,0.25,0.775,13.5,0.205
David Robinson,24,SAS,2.0,102.0,920,0.111,82,36.6,24.3,12.0,2.0,1.7,3.9,0.531,0.0,0.732,15.1,0.241
Hakeem Olajuwon,27,HOU,1.0,64.0,920,0.07,82,38.1,24.3,14.0,2.9,2.1,4.6,0.501,0.167,0.713,11.2,0.173
Tom Chambers,30,PHO,0.0,12.0,920,0.013,81,37.6,27.2,7.0,2.3,1.1,0.6,0.501,0.279,0.861,11.2,0.176
John Stockton,27,UTA,0.0,9.0,920,0.01,78,37.4,17.2,2.6,14.5,2.7,0.2,0.514,0.416,0.819,14.4,0.238
Larry Bird,33,BOS,0.0,5.0,920,0.005,75,39.3,24.3,9.5,7.5,1.4,0.8,0.473,0.333,0.93,9.5,0.154
Buck Williams,29,POR,0.0,5.0,920,0.005,82,34.2,13.6,9.8,1.4,0.8,0.5,0.548,0.0,0.706,8.7,0.149
Clyde Drexler,27,POR,0.0,3.0,920,0.003,73,36.8,23.3,6.9,5.9,2.0,0.7,0.494,0.283,0.774,11.6,0.208
Joe Dumars,26,DET,0.0,1.0,920,0.001,75,34.4,17.8,2.8,4.9,0.8,0.0,0.48,0.4,0.9,8.7,0.162
Isiah Thomas,28,DET,0.0,1.0,920,0.001,81,37.0,18.4,3.8,9.4,1.7,0.2,0.438,0.309,0.775,6.7,0.107
