Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Kevin Durant,25,OKC,119.0,1232.0,1250,0.986,81,38.5,32.0,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295
LeBron James,29,MIA,6.0,891.0,1250,0.713,77,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264
Blake Griffin,24,LAC,0.0,434.0,1250,0.347,80,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205
Joakim Noah,28,CHI,0.0,322.0,1250,0.258,80,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0.0,0.737,11.2,0.19
James Harden,24,HOU,0.0,85.0,1250,0.068,73,38.0,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221
Stephen Curry,25,GSW,0.0,66.0,1250,0.053,78,36.5,24.0,4.3,8.5,1.6,0.2,0.471,0.424,0.885,13.4,0.225
Chris Paul,28,LAC,0.0,45.0,1250,0.036,62,35.0,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.27
Al Jefferson,29,CHA,0.0,34.0,1250,0.027,73,35.0,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,0.146
Paul George,23,IND,0.0,33.0,1250,0.026,80,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,0.178
LaMarcus Aldridge,28,POR,0.0,26.0,1250,0.021,69,36.2,23.2,11.1,2.6,0.9,1.0,0.458,0.2,0.822,7.5,0.144
Kevin Love,25,MIN,0.0,25.0,1250,0.02,77,36.3,26.1,12.5,4.4,0.8,0.5,0.457,0.376,0.821,14.3,0.245
Tim Duncan,37,SAS,0.0,21.0,1250,0.017,74,29.2,15.1,9.7,3.0,0.6,1.9,0.49,0.0,0.731,7.4,0.164
Tony Parker,31,SAS,0.0,21.0,1250,0.017,68,29.4,16.7,2.3,5.7,0.5,0.1,0.499,0.373,0.811,5.9,0.141
Dirk Nowitzki,35,DAL,0.0,7.0,1250,0.006,80,32.9,21.7,6.2,2.7,0.9,0.6,0.497,0.398,0.899,10.9,0.199
Carmelo Anthony,29,NYK,0.0,4.0,1250,0.003,77,38.7,27.4,8.1,3.1,1.2,0.7,0.452,0.402,0.848,10.7,0.172
Goran Dragić,27,PHO,0.0,3.0,1250,0.002,76,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,10.3,0.186
Mike Conley,26,MEM,0.0,1.0,1250,0.001,73,33.5,17.2,2.9,6.0,1.5,0.2,0.45,0.361,0.815,8.2,0.161
