Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.C. Green,PF,26,LAL,82.0,2709.0,14.7,0.548,0.057,0.459,11.5,18.4,15.1,4.6,1.2,1.1,10.7,17.1,4.4,3.3,7.7,0.137,0.3,-0.9,-0.6,1.0
Adrian Branch,SF,26,MIN,11.0,91.0,16.9,0.46,0.016,0.361,9.9,16.9,13.2,8.8,3.5,0.0,10.2,38.1,-0.1,0.1,0.0,0.014,-0.9,-1.1,-2.0,0.0
Adrian Caldwell,PF,23,HOU,51.0,331.0,9.5,0.549,0.0,0.368,11.7,22.9,17.4,2.8,1.6,3.2,26.6,14.8,-0.3,0.7,0.4,0.061,-5.3,1.4,-4.0,-0.2
Adrian Dantley,SF,34,DAL,45.0,1300.0,15.4,0.556,0.004,0.525,6.9,8.1,7.5,9.6,0.8,0.3,11.2,22.6,2.2,0.8,3.1,0.113,0.9,-1.4,-0.4,0.5
Alex English,SF,36,DEN,80.0,2211.0,17.9,0.522,0.004,0.142,5.3,8.4,6.8,15.6,1.1,0.6,6.3,26.0,3.3,1.7,5.1,0.11,2.5,-1.2,1.2,1.8
Alexander Volkov,C,25,ATL,72.0,937.0,11.9,0.53,0.12,0.423,6.2,8.5,7.3,12.3,1.9,1.4,13.4,17.4,1.0,0.4,1.4,0.074,-1.3,0.1,-1.2,0.2
Alton Lister,C,31,GSW,3.0,40.0,10.9,0.542,0.125,0.875,14.0,7.6,10.7,6.4,1.1,0.0,0.0,11.0,0.1,0.0,0.1,0.125,0.3,-1.0,-0.6,0.0
Alvin Robertson,SG,27,MIL,81.0,2599.0,18.9,0.542,0.027,0.281,10.0,14.7,12.3,25.6,3.9,0.4,17.0,20.6,3.6,3.9,7.5,0.138,1.7,2.0,3.7,3.7
Andre Turner,PG,25,LAC-CHH,11.0,115.0,6.2,0.327,0.053,0.105,4.0,4.1,4.0,27.5,3.4,0.0,23.2,19.1,-0.4,0.1,-0.3,-0.111,-5.0,-0.7,-5.7,-0.1
Andrew Lang,C,23,PHO,74.0,1011.0,13.2,0.594,0.0,0.563,9.6,19.2,14.7,2.6,1.0,7.4,15.9,10.6,1.1,1.9,3.0,0.144,-2.0,3.4,1.4,0.9
Anthony Bowie,SG,26,HOU,66.0,918.0,8.8,0.448,0.072,0.184,4.2,9.3,6.8,13.9,2.2,0.3,15.7,16.6,-0.6,1.3,0.7,0.037,-3.5,0.9,-2.5,-0.1
Anthony Jones,SG,27,DAL,66.0,650.0,7.6,0.435,0.067,0.356,5.9,8.4,7.2,6.3,2.5,1.5,15.8,18.0,-0.8,0.8,0.0,-0.001,-4.6,0.6,-4.0,-0.3
Anthony Mason,PF,23,NJN,21.0,108.0,6.9,0.397,0.0,0.375,10.2,24.2,16.7,9.7,0.9,1.1,19.1,21.4,-0.2,0.1,-0.1,-0.055,-6.6,-1.0,-7.6,-0.2
Antoine Carr,PF,28,ATL-SAC,77.0,1727.0,16.4,0.557,0.01,0.413,7.5,13.8,10.6,10.8,0.9,2.4,12.8,24.2,2.4,1.1,3.5,0.097,0.0,-0.7,-0.6,0.6
Armen Gilliam,PF,25,PHO-CHH,76.0,2426.0,16.6,0.565,0.002,0.446,9.4,19.0,14.0,6.4,1.4,1.3,14.0,22.9,2.3,2.3,4.5,0.09,0.0,-1.0,-0.9,0.6
Avery Johnson,PG,24,SEA,53.0,575.0,11.6,0.439,0.028,0.282,4.1,4.7,4.4,36.4,2.3,0.1,23.1,15.1,0.2,0.3,0.5,0.043,-0.1,-0.8,-0.8,0.2
B.J. Armstrong,PG,22,CHI,81.0,1291.0,11.9,0.53,0.015,0.199,1.7,7.6,4.7,20.7,1.8,0.3,16.3,16.9,1.0,0.8,1.7,0.064,-1.7,-1.1,-2.8,-0.3
Ben Coleman,PF,28,MIL,22.0,305.0,12.2,0.548,0.01,0.423,11.5,21.4,16.4,5.6,1.1,1.4,18.4,19.4,0.1,0.4,0.5,0.079,-3.2,-1.0,-4.1,-0.2
Benoit Benjamin,C,25,LAC,71.0,2313.0,16.7,0.578,0.001,0.467,7.8,24.4,16.2,10.1,1.2,4.8,18.4,18.4,1.7,3.7,5.4,0.113,-0.5,2.1,1.6,2.1
Bernard King,SF,33,WSB,82.0,2687.0,18.8,0.545,0.016,0.352,5.1,11.1,8.1,21.8,0.9,0.1,12.8,29.4,4.1,1.4,5.5,0.099,2.3,-1.9,0.5,1.7
Bill Cartwright,C,32,CHI,71.0,2160.0,12.8,0.562,0.0,0.468,7.5,18.0,12.7,8.9,0.9,1.0,14.6,16.7,2.8,1.7,4.5,0.1,-1.3,-1.2,-2.5,-0.3
Bill Hanzlik,PF,32,DEN,81.0,1605.0,10.3,0.525,0.078,0.462,4.1,9.7,6.8,14.0,2.2,1.0,15.4,13.7,1.0,1.9,2.9,0.086,-2.6,1.5,-1.1,0.3
Bill Laimbeer,C,32,DET,81.0,2675.0,15.8,0.564,0.201,0.245,7.1,26.0,16.6,9.1,1.1,2.0,10.1,15.6,4.7,5.4,10.1,0.182,0.9,2.4,3.3,3.6
